ID,Team,Position,Player,Age,Caps,Goals,WC Goals,League,Club
137,Iran,Midfielder,Alireza Jahanbakhsh,29,64,13,0,Netherlands,Feyenoord
138,Iran,Defender,Morteza Pouraliganji,30,46,3,0,Iran,Persepolis
139,Iran,Forward,Mehdi Taremi,30,60,28,0,Portugal,Porto
140,Iran,Forward,Karim Ansarifard,32,94,29,1,Cyprus,Omonia
141,Iran,Midfielder,Vahid Amiri,34,68,2,0,Iran,Persepolis
142,Iran,Goalkeeper,Payam Niazmand,27,1,0,0,Iran,Sepahan
143,Iran,Defender,Hossein Kanaanizadegan,28,35,2,0,Qatar,Al-Ahli Doha
144,Iran,Midfielder,Saman Ghoddos,29,33,2,0,England,Brentford
145,Iran,Defender,Rouzbeh Cheshmi,29,19,1,0,Iran,Esteghlal
146,Iran,Midfielder,Mehdi Torabi,28,36,6,0,Iran,Persepolis
147,Iran,Midfielder,Ali Gholizadeh,26,26,6,0,Belgium,Charleroi
148,Iran,Midfielder,Ali Karimi,28,13,0,0,Turkey,Kayserispor
149,Iran,Defender,Majid Hosseini,26,18,0,0,Turkey,Kayserispor
150,Iran,Forward,Sardar Azmoun,27,65,41,0,Germany,Bayer Leverkusen
151,Iran,Midfielder,Ahmad Nourollahi,29,26,3,0,United Arab Emirates,Shabab Al-Ahli
152,Iran,Goalkeeper,Amir Abedzadeh,29,11,0,0,Spain,Ponferradina
153,Iran,Defender,Ramin Rezaeian,32,46,2,0,Iran,Sepahan
154,Iran,Goalkeeper,Hossein Hosseini,30,6,0,0,Iran,Esteghlal
155,Iran,Defender,Abolfazl Jalali,24,3,0,0,Iran,Esteghlal
156,United States,Goalkeeper,Matt Turner,28,20,0,0,England,Arsenal
157,United States,Defender,Sergiño Dest,22,19,2,0,Italy,Milan
158,United States,Defender,Walker Zimmerman,29,33,3,0,United States,Nashville SC
159,United States,Midfielder,Tyler Adams,23,32,1,0,England,Leeds United
160,United States,Defender,Antonee Robinson,25,29,2,0,England,Fulham
161,United States,Midfielder,Yunus Musah,19,19,0,0,Spain,Valencia
162,United States,Forward,Giovanni Reyna,20,14,4,0,Germany,Borussia Dortmund
163,United States,Midfielder,Weston McKennie,24,37,9,0,Italy,Juventus
164,United States,Forward,Jesús Ferreira,21,15,7,0,United States,FC Dallas
165,United States,Forward,Christian Pulisic,24,52,21,0,England,Chelsea
166,United States,Forward,Brenden Aaronson,22,24,6,0,England,Leeds United
167,United States,Goalkeeper,Ethan Horvath,27,8,0,0,England,Luton Town
168,United States,Defender,Tim Ream,35,46,1,0,England,Fulham
169,United States,Midfielder,Luca de la Torre,24,12,0,0,Spain,Celta Vigo
170,United States,Defender,Aaron Long,30,29,3,0,United States,New York Red Bulls
171,United States,Forward,Jordan Morris,28,49,11,0,United States,Seattle Sounders FC
172,United States,Midfielder,Cristian Roldan,27,32,0,0,United States,Seattle Sounders FC
173,United States,Defender,Shaq Moore,26,15,1,0,United States,Nashville SC
174,United States,Forward,Haji Wright,24,3,1,0,Turkey,Antalyaspor
175,United States,Defender,Cameron Carter-Vickers,24,11,0,0,Scotland,Celtic
176,United States,Forward,Timothy Weah,22,25,3,0,France,Lille
177,United States,Defender,DeAndre Yedlin,29,75,0,0,United States,Inter Miami CF
178,United States,Midfielder,Kellyn Acosta,27,53,2,0,United States,Los Angeles FC
179,United States,Forward,Josh Sargent,22,20,5,0,England,Norwich City
180,United States,Goalkeeper,Sean Johnson,33,10,0,0,United States,New York City FC
181,United States,Defender,Joe Scally,19,3,0,0,Germany,Borussia Mönchengladbach
182,Wales,Goalkeeper,Wayne Hennessey,35,106,0,0,England,Nottingham Forest
183,Wales,Defender,Chris Gunter,33,109,0,0,England,Wimbledon
184,Wales,Defender,Neco Williams,21,23,2,0,England,Nottingham Forest
185,Wales,Defender,Ben Davies,29,74,1,0,England,Tottenham Hotspur
186,Wales,Defender,Chris Mepham,25,33,0,0,England,Bournemouth
187,Wales,Defender,Joe Rodon,25,30,0,0,France,Rennes
188,Wales,Midfielder,Joe Allen,32,72,2,0,Wales,Swansea City
189,Wales,Midfielder,Harry Wilson,25,39,5,0,England,Fulham
190,Wales,Forward,Brennan Johnson,21,15,2,0,England,Nottingham Forest
191,Wales,Midfielder,Aaron Ramsey,31,75,20,0,France,Nice
192,Wales,Forward,Gareth Bale (captain),33,108,40,0,United States,Los Angeles FC
193,Wales,Goalkeeper,Danny Ward,29,26,0,0,England,Leicester City
194,Wales,Forward,Kieffer Moore,30,28,9,0,England,Bournemouth
195,Wales,Defender,Connor Roberts,27,41,3,0,England,Burnley
196,Wales,Defender,Ethan Ampadu,22,37,0,0,Italy,Spezia
197,Wales,Midfielder,Joe Morrell,25,30,0,0,England,Portsmouth
198,Wales,Defender,Tom Lockyer,27,14,0,0,England,Luton Town
199,Wales,Midfielder,Jonny Williams,29,33,2,0,England,Swindon Town
200,Wales,Forward,Mark Harris,23,5,0,0,Wales,Cardiff City
201,Wales,Forward,Daniel James,25,38,5,0,England,Fulham
202,Wales,Goalkeeper,Adam Davies,30,3,0,0,England,Sheffield United
203,Wales,Midfielder,Sorba Thomas,23,6,0,0,England,Huddersfield Town
204,Wales,Midfielder,Dylan Levitt,22,13,0,0,Scotland,Dundee United
205,Wales,Defender,Ben Cabango,22,5,0,0,Wales,Swansea City
206,Wales,Midfielder,Rubin Colwill,20,7,1,0,Wales,Cardiff City
207,Wales,Midfielder,Matthew Smith,22,19,0,0,England,Milton Keynes Dons
208,Argentina,Goalkeeper,Franco Armani,36,18,0,0,Argentina,River Plate
209,Argentina,Defender,Juan Foyth,24,15,0,0,Spain,Villarreal
210,Argentina,Defender,Nicolás Tagliafico,30,42,0,0,France,Lyon
211,Argentina,Defender,Gonzalo Montiel,25,17,0,0,Spain,Sevilla
212,Argentina,Midfielder,Leandro Paredes,28,45,4,0,Italy,Juventus
213,Argentina,Defender,Germán Pezzella,31,31,2,0,Spain,Real Betis
214,Argentina,Midfielder,Rodrigo De Paul,28,43,2,0,Spain,Atlético Madrid
215,Argentina,Midfielder,Marcos Acuña,31,42,0,0,Spain,Sevilla
216,Argentina,Forward,Julián Álvarez,22,11,2,0,England,Manchester City
217,Argentina,Forward,Lionel Messi (captain),35,164,90,6,France,Paris Saint-Germain
218,Argentina,Forward,Ángel Di María,34,123,25,2,Italy,Juventus
219,Argentina,Goalkeeper,Gerónimo Rulli,30,4,0,0,Spain,Villarreal
220,Argentina,Defender,Cristian Romero,24,12,1,0,England,Tottenham Hotspur
221,Argentina,Midfielder,Exequiel Palacios,24,20,0,0,Germany,Bayer Leverkusen
222,Argentina,Forward,Nicolás González,24,21,3,0,Italy,Fiorentina
223,Argentina,Forward,Joaquín Correa,28,18,3,0,Italy,Internazionale
224,Argentina,Midfielder,Papu Gómez,34,15,3,0,Spain,Sevilla
225,Argentina,Midfielder,Guido Rodríguez,28,25,1,0,Spain,Real Betis
226,Argentina,Defender,Nicolás Otamendi,34,92,4,0,Portugal,Benfica
227,Argentina,Midfielder,Alexis Mac Allister,23,7,0,0,England,Brighton & Hove Albion
228,Argentina,Forward,Paulo Dybala,29,34,3,0,Italy,Roma
229,Argentina,Forward,Lautaro Martínez,25,40,21,0,Italy,Internazionale
230,Argentina,Goalkeeper,Emiliano Martínez,30,18,0,0,England,Aston Villa
231,Argentina,Midfielder,Enzo Fernández,21,2,0,0,Portugal,Benfica
232,Argentina,Defender,Lisandro Martínez,24,9,0,0,England,Manchester United
233,Argentina,Defender,Nahuel Molina,24,19,0,0,Spain,Atlético Madrid
234,Mexico,Goalkeeper,Alfredo Talavera,40,39,0,0,Mexico,Juárez
235,Mexico,Defender,Néstor Araujo,31,61,3,0,Mexico,América
236,Mexico,Defender,César Montes,25,28,1,0,Mexico,Monterrey
237,Mexico,Defender,Edson Álvarez,25,58,3,0,Netherlands,Ajax
238,Mexico,Defender,Johan Vásquez,24,6,0,0,Italy,Cremonese
239,Mexico,Defender,Gerardo Arteaga,24,17,1,0,Belgium,Genk
240,Mexico,Midfielder,Luis Romo,27,25,1,0,Mexico,Monterrey
241,Mexico,Midfielder,Carlos Rodríguez,25,34,0,0,Mexico,Cruz Azul
242,Mexico,Forward,Raúl Jiménez,31,94,29,0,England,Wolverhampton Wanderers
243,Mexico,Forward,Alexis Vega,24,20,4,0,Mexico,Guadalajara
244,Mexico,Forward,Rogelio Funes Mori,31,15,5,0,Mexico,Monterrey
245,Mexico,Goalkeeper,Rodolfo Cota,35,8,0,0,Mexico,León
246,Mexico,Goalkeeper,Guillermo Ochoa,37,130,0,0,Mexico,América
247,Mexico,Midfielder,Érick Gutiérrez,27,34,1,0,Netherlands,PSV Eindhoven
248,Mexico,Defender,Héctor Moreno,34,126,5,0,Mexico,Monterrey
249,Mexico,Midfielder,Héctor Herrera,32,100,10,0,United States,Houston Dynamo FC
250,Mexico,Forward,Orbelín Pineda,26,50,6,0,Greece,AEK Athens
251,Mexico,Midfielder,Andrés Guardado (captain),36,177,28,1,Spain,Real Betis
252,Mexico,Defender,Jorge Sánchez,24,25,1,0,Netherlands,Ajax
253,Mexico,Forward,Henry Martín,30,25,6,0,Mexico,América
254,Mexico,Forward,Uriel Antuna,25,34,8,0,Mexico,Cruz Azul
255,Mexico,Forward,Hirving Lozano,27,59,16,1,Italy,Napoli
256,Mexico,Defender,Jesús Gallardo,28,76,0,0,Mexico,Monterrey
257,Mexico,Midfielder,Luis Chávez,26,7,0,0,Mexico,Pachuca
258,Mexico,Forward,Roberto Alvarado,24,30,4,0,Mexico,Guadalajara
259,Mexico,Defender,Kevin Álvarez,23,7,0,0,Mexico,Pachuca
260,Poland,Goalkeeper,Wojciech Szcz?sny,32,66,0,0,Italy,Juventus
261,Poland,Defender,Matty Cash,25,7,1,0,England,Aston Villa
262,Poland,Defender,Artur J?drzejczyk,35,40,3,0,Poland,Legia Warsaw
263,Poland,Defender,Mateusz Wieteska,25,1,0,0,France,Clermont
264,Poland,Defender,Jan Bednarek,26,44,1,1,England,Aston Villa
265,Poland,Midfielder,Krystian Bielik,24,5,0,0,England,Birmingham City
266,Poland,Forward,Arkadiusz Milik,28,63,16,0,Italy,Juventus
267,Poland,Midfielder,Damian Szyma?ski,27,8,1,0,Greece,AEK Athens
268,Poland,Forward,Robert Lewandowski (captain),34,134,76,0,Spain,Barcelona
269,Poland,Midfielder,Grzegorz Krychowiak,32,93,5,1,Saudi Arabia,Al-Shabab
270,Poland,Midfielder,Kamil Grosicki,34,86,17,0,Poland,Pogo? Szczecin
271,Poland,Goalkeeper,?ukasz Skorupski,31,7,0,0,Italy,Bologna
272,Poland,Midfielder,Jakub Kami?ski,20,3,1,0,Germany,VfL Wolfsburg
273,Poland,Defender,Jakub Kiwior,22,4,0,0,Italy,Spezia
274,Poland,Defender,Kamil Glik,34,98,6,0,Italy,Benevento
275,Poland,Forward,Karol ?widerski,25,17,8,0,United States,Charlotte FC
276,Poland,Midfielder,Szymon ?urkowski,25,6,0,0,Italy,Fiorentina
277,Poland,Defender,Bartosz Bereszy?ski,30,45,0,0,Italy,Sampdoria
278,Poland,Midfielder,Sebastian Szyma?ski,23,17,1,0,Netherlands,Feyenoord
279,Poland,Midfielder,Piotr Zieli?ski,28,74,9,0,Italy,Napoli
280,Poland,Midfielder,Nicola Zalewski,20,7,0,0,Italy,Roma
281,Poland,Goalkeeper,Kamil Grabara,23,1,0,0,Denmark,Copenhagen
282,Poland,Forward,Krzysztof Pi?tek,27,24,10,0,Italy,Salernitana
283,Poland,Midfielder,Przemys?aw Frankowski,27,25,1,0,France,Lens
284,Poland,Defender,Robert Gumny,24,4,0,0,Germany,FC Augsburg
285,Poland,Midfielder,Micha? Skóra?,22,1,0,0,Poland,Lech Pozna?
286,Saudi Arabia,Goalkeeper,Mohammed Al-Rubaie,25,7,0,0,Saudi Arabia,Al-Ahli
287,Saudi Arabia,Defender,Sultan Al-Ghannam,28,24,0,0,Saudi Arabia,Al-Nassr
288,Saudi Arabia,Defender,Abdullah Madu,29,15,0,0,Saudi Arabia,Al-Nassr
289,Saudi Arabia,Defender,Abdulelah Al-Amri,25,19,1,0,Saudi Arabia,Al-Nassr
290,Saudi Arabia,Defender,Ali Al-Bulaihi,32,36,0,0,Saudi Arabia,Al-Hilal
291,Saudi Arabia,Defender,Mohammed Al-Breik,30,40,1,0,Saudi Arabia,Al-Hilal
292,Saudi Arabia,Midfielder,Salman Al-Faraj (captain),33,69,8,1,Saudi Arabia,Al-Hilal
293,Saudi Arabia,Midfielder,Abdulellah Al-Malki,28,26,0,0,Saudi Arabia,Al-Hilal
294,Saudi Arabia,Forward,Firas Al-Buraikan,22,26,6,0,Saudi Arabia,Al-Fateh
295,Saudi Arabia,Forward,Salem Al-Dawsari,31,70,17,1,Saudi Arabia,Al-Hilal
296,Saudi Arabia,Forward,Saleh Al-Shehri,29,19,10,0,Saudi Arabia,Al-Hilal
297,Saudi Arabia,Defender,Saud Abdulhamid,23,22,1,0,Saudi Arabia,Al-Hilal
298,Saudi Arabia,Defender,Yasser Al-Shahrani,30,71,2,0,Saudi Arabia,Al-Hilal
299,Saudi Arabia,Midfielder,Abdullah Otayf,30,45,1,0,Saudi Arabia,Al-Hilal
300,Saudi Arabia,Midfielder,Ali Al-Hassan,25,12,1,0,Saudi Arabia,Al-Nassr
301,Saudi Arabia,Midfielder,Sami Al-Najei,25,17,2,0,Saudi Arabia,Al-Nassr
302,Saudi Arabia,Defender,Hassan Al-Tambakti,23,18,0,0,Saudi Arabia,Al-Shabab
303,Saudi Arabia,Midfielder,Nawaf Al-Abed,32,54,8,0,Saudi Arabia,Al-Shabab
304,Saudi Arabia,Forward,Hattan Bahebri,30,40,4,0,Saudi Arabia,Al-Shabab
305,Saudi Arabia,Forward,Abdulrahman Al-Aboud,27,3,0,0,Saudi Arabia,Al-Ittihad
306,Saudi Arabia,Goalkeeper,Mohammed Al-Owais,31,41,0,0,Saudi Arabia,Al-Hilal
307,Saudi Arabia,Goalkeeper,Nawaf Al-Aqidi,22,1,0,0,Saudi Arabia,Al-Nassr
308,Saudi Arabia,Midfielder,Mohamed Kanno,28,37,1,0,Saudi Arabia,Al-Hilal
309,Saudi Arabia,Midfielder,Nasser Al-Dawsari,23,9,0,0,Saudi Arabia,Al-Hilal
310,Saudi Arabia,Forward,Haitham Asiri,21,7,1,0,Saudi Arabia,Al-Ahli
311,Saudi Arabia,Midfielder,Riyadh Sharahili,29,5,0,0,Saudi Arabia,Abha
312,Australia,Goalkeeper,Mathew Ryan (captain),30,75,0,0,Denmark,Copenhagen
313,Australia,Defender,Miloš Degenek,28,38,1,0,United States,Columbus Crew
314,Australia,Defender,Nathaniel Atkinson,23,5,0,0,Scotland,Heart of Midlothian
315,Australia,Defender,Kye Rowles,24,3,0,0,Scotland,Heart of Midlothian
316,Australia,Defender,Fran Kara?i?,26,10,1,0,Italy,Brescia
317,Australia,Forward,Martin Boyle,29,19,5,0,Scotland,Hibernian
318,Australia,Forward,Mathew Leckie,31,73,13,0,Australia,Melbourne City
319,Australia,Defender,Bailey Wright,30,27,2,0,England,Sunderland
320,Australia,Forward,Jamie Maclaren,29,26,8,0,Australia,Melbourne City
321,Australia,Midfielder,Ajdin Hrustic,26,20,3,0,Italy,Hellas Verona
322,Australia,Forward,Awer Mabil,27,29,8,0,Spain,Cádiz
323,Australia,Goalkeeper,Andrew Redmayne,33,4,0,0,Australia,Sydney FC
324,Australia,Midfielder,Aaron Mooy,32,53,7,0,Scotland,Celtic
325,Australia,Midfielder,Riley McGree,24,11,1,0,England,Middlesbrough
326,Australia,Forward,Mitchell Duke,31,21,8,0,Japan,Fagiano Okayama
327,Australia,Defender,Aziz Behich,31,53,2,0,Scotland,Dundee United
328,Australia,Midfielder,Cameron Devlin,24,1,0,0,Scotland,Heart of Midlothian
329,Australia,Goalkeeper,Danny Vukovic,37,4,0,0,Australia,Central Coast Mariners
330,Australia,Defender,Harry Souttar,24,10,6,0,England,Stoke City
331,Australia,Defender,Thomas Deng,25,2,0,0,Japan,Albirex Niigata
332,Australia,Forward,Garang Kuol,18,1,0,0,Australia,Central Coast Mariners
333,Australia,Midfielder,Jackson Irvine,29,49,7,0,Germany,FC St. Pauli
334,Australia,Forward,Craig Goodwin,30,10,1,0,Australia,Adelaide United
335,Australia,Defender,Joel King,22,4,0,0,Denmark,OB
336,Australia,Forward,Jason Cummings,27,1,1,0,Australia,Central Coast Mariners
337,Australia,Midfielder,Keanu Baccus,24,1,0,0,Scotland,St Mirren
338,Denmark,Goalkeeper,Kasper Schmeichel,36,86,0,0,France,Nice
339,Denmark,Defender,Joachim Andersen,26,19,0,0,England,Crystal Palace
340,Denmark,Defender,Victor Nelsson,24,7,0,0,Turkey,Galatasaray
341,Denmark,Defender,Simon Kjær (captain),33,121,5,0,Italy,Milan
