ID,Tournament,Date,Home Team,Home Goals,Away Goals,Away Team,Win Conditions,Home Stadium
106,British Championship,1898-04-02,Scotland,1,3,England,,TRUE
107,British Championship,1899-02-18,England,13,2,Northern Ireland,,TRUE
108,British Championship,1899-03-04,Northern Ireland,1,0,Wales,,TRUE
109,British Championship,1899-03-18,Wales,0,6,Scotland,,TRUE
110,British Championship,1899-03-20,England,4,0,Wales,,TRUE
111,British Championship,1899-04-08,England,2,1,Scotland,,TRUE
112,British Championship,1900-02-03,Scotland,5,2,Wales,,TRUE
113,British Championship,1900-02-24,Wales,2,0,Northern Ireland,,TRUE
114,British Championship,1900-03-17,Northern Ireland,0,2,England,,TRUE
115,British Championship,1900-03-26,Wales,1,1,England,,TRUE
116,British Championship,1900-04-07,Scotland,4,1,England,,TRUE
117,British Championship,1901-03-02,Wales,1,1,Scotland,,TRUE
118,British Championship,1901-03-09,England,3,0,Northern Ireland,,TRUE
119,British Championship,1901-03-18,England,6,0,Wales,,TRUE
120,British Championship,1901-03-23,Northern Ireland,0,1,Wales,,TRUE
121,British Championship,1901-03-30,England,2,2,Scotland,,TRUE
122,British Championship,1902-02-22,Wales,0,3,Northern Ireland,,TRUE
123,British Championship,1902-03-03,Wales,0,0,England,,TRUE
124,British Championship,1902-03-15,Scotland,5,1,Wales,,TRUE
125,British Championship,1902-03-22,Northern Ireland,0,1,England,,TRUE
126,British Championship,1902-05-03,England,2,2,Scotland,,TRUE
127,Friendly,1902-07-20,Uruguay,0,6,Argentina,,TRUE
128,British Championship,1903-02-14,England,4,0,Northern Ireland,,TRUE
129,British Championship,1903-03-02,England,2,1,Wales,,TRUE
130,British Championship,1903-03-09,Wales,0,1,Scotland,,TRUE
131,British Championship,1903-03-28,Northern Ireland,2,0,Wales,,TRUE
132,British Championship,1903-04-04,England,1,2,Scotland,,TRUE
133,Friendly,1903-09-13,Argentina,2,3,Uruguay,,TRUE
134,British Championship,1904-02-29,Wales,2,2,England,,TRUE
135,British Championship,1904-03-12,Northern Ireland,1,3,England,,TRUE
136,British Championship,1904-03-12,Scotland,1,1,Wales,,TRUE
137,British Championship,1904-03-21,Wales,0,1,Northern Ireland,,TRUE
138,British Championship,1904-04-09,Scotland,0,1,England,,TRUE
139,Friendly,1904-05-01,Belgium,3,3,France,,TRUE
140,Friendly,1905-02-12,France,1,0,Switzerland,,TRUE
141,British Championship,1905-02-25,England,1,1,Northern Ireland,,TRUE
142,British Championship,1905-03-06,Wales,3,1,Scotland,,TRUE
143,British Championship,1905-03-27,England,3,1,Wales,,TRUE
144,British Championship,1905-04-01,England,1,0,Scotland,,TRUE
145,British Championship,1905-04-08,Northern Ireland,2,2,Wales,,TRUE
146,Friendly,1905-04-30,Belgium,1,4,Netherlands,,TRUE
147,Friendly,1905-05-07,Belgium,7,0,France,,TRUE
148,Friendly,1905-05-14,Netherlands,4,0,Belgium,,TRUE
149,Copa Lipton,1905-08-15,Argentina,0,0,Uruguay,,TRUE
150,British Championship,1906-02-17,Northern Ireland,0,5,England,,TRUE
151,British Championship,1906-03-03,Scotland,0,2,Wales,,TRUE
152,British Championship,1906-03-19,Wales,0,1,England,,TRUE
153,British Championship,1906-04-02,Wales,4,4,Northern Ireland,,TRUE
154,British Championship,1906-04-07,Scotland,2,1,England,,TRUE
155,Friendly,1906-04-22,France,0,5,Belgium,,TRUE
156,Friendly,1906-04-29,Belgium,5,0,Netherlands,,TRUE
157,Friendly,1906-05-13,Netherlands,2,3,Belgium,,TRUE
158,Copa Lipton,1906-08-15,Uruguay,0,2,Argentina,,TRUE
159,Copa Newton,1906-10-21,Argentina,2,1,Uruguay,,TRUE
160,British Championship,1907-02-16,England,1,0,Northern Ireland,,TRUE
161,British Championship,1907-02-23,Northern Ireland,2,3,Wales,,TRUE
162,British Championship,1907-03-04,Wales,1,0,Scotland,,TRUE
163,British Championship,1907-03-18,England,1,1,Wales,,TRUE
164,British Championship,1907-04-06,England,1,1,Scotland,,TRUE
165,Friendly,1907-04-14,Belgium,1,3,Netherlands,,TRUE
166,Friendly,1907-04-21,Belgium,1,2,France,,TRUE
167,Friendly,1907-05-09,Netherlands,1,2,Belgium,,TRUE
168,British Championship,1908-02-15,Northern Ireland,1,3,England,,TRUE
169,British Championship,1908-03-07,Scotland,2,1,Wales,,TRUE
170,Friendly,1908-03-08,Switzerland,1,2,France,,TRUE
171,British Championship,1908-03-16,Wales,1,7,England,,TRUE
172,Friendly,1908-03-29,Belgium,1,4,Netherlands,,TRUE
173,British Championship,1908-04-04,Scotland,1,1,England,,TRUE
174,Friendly,1908-04-05,Switzerland,5,3,Germany,,TRUE
175,British Championship,1908-04-11,Wales,0,1,Northern Ireland,,TRUE
176,Friendly,1908-04-12,France,1,2,Belgium,,TRUE
177,Friendly,1908-04-26,Netherlands,3,1,Belgium,,TRUE
178,Friendly,1908-05-10,Netherlands,4,1,France,,TRUE
179,Friendly,1908-06-06,Austria,1,6,England,,TRUE
180,Friendly,1908-06-07,Austria,3,2,Germany,,TRUE
181,Friendly,1908-06-08,Austria,1,11,England,,TRUE
182,Friendly,1908-06-10,Hungary,0,7,England,,TRUE
183,Friendly,1908-06-13,Czechoslovakia,0,4,England,,TRUE
184,Copa Lipton,1908-08-15,Uruguay,2,2,Argentina,,TRUE
185,Copa Newton,1908-09-13,Argentina,2,1,Uruguay,,TRUE
186,Copa Premio Honor Argentino,1908-10-04,Argentina,0,1,Uruguay,,TRUE
187,Friendly,1908-10-25,Netherlands,5,3,Sweden,,TRUE
188,Friendly,1908-10-26,Belgium,2,1,Sweden,,TRUE
189,British Championship,1909-02-13,England,4,0,Northern Ireland,,TRUE
190,British Championship,1909-03-01,Wales,3,2,Scotland,,TRUE
191,British Championship,1909-03-15,England,2,0,Wales,,TRUE
192,British Championship,1909-03-20,Northern Ireland,2,3,Wales,,TRUE
193,Friendly,1909-03-21,Belgium,1,4,Netherlands,,TRUE
194,British Championship,1909-04-03,England,2,0,Scotland,,TRUE
195,Friendly,1909-04-04,Germany,1,0,Switzerland,,TRUE
196,Friendly,1909-04-04,Hungary,3,3,Germany,,TRUE
197,Friendly,1909-04-25,Netherlands,4,1,Belgium,,TRUE
198,Friendly,1909-05-09,Belgium,5,2,France,,TRUE
199,Friendly,1909-05-29,Hungary,2,4,England,,TRUE
200,Friendly,1909-05-31,Hungary,2,8,England,,TRUE
201,Friendly,1909-06-01,Austria,1,8,England,,TRUE
202,Copa Lipton,1909-08-15,Argentina,2,1,Uruguay,,TRUE
203,Copa Newton,1909-09-19,Uruguay,2,2,Argentina,,TRUE
204,Copa Premio Honor Argentino,1909-10-10,Argentina,3,1,Uruguay,,TRUE
205,British Championship,1910-02-12,Northern Ireland,1,1,England,,TRUE
206,British Championship,1910-03-05,Scotland,1,0,Wales,,TRUE
207,Friendly,1910-03-13,Belgium,3,2,Netherlands,,TRUE
208,British Championship,1910-03-14,Wales,0,1,England,,TRUE
209,British Championship,1910-04-02,Scotland,2,0,England,,TRUE
210,Friendly,1910-04-03,France,0,4,Belgium,,TRUE
211,Friendly,1910-04-03,Switzerland,2,3,Germany,,TRUE
212,Friendly,1910-04-10,Netherlands,7,0,Belgium,,TRUE
213,British Championship,1910-04-11,Wales,4,1,Northern Ireland,,TRUE
214,Friendly,1910-04-24,Netherlands,4,2,Germany,,TRUE
215,Friendly,1910-05-15,Italy,6,2,France,,TRUE
216,Friendly,1910-05-16,Germany,0,3,Belgium,,TRUE
217,Friendly,1910-05-27,Argentina,3,1,Chile,,TRUE
218,Friendly,1910-05-29,Chile,0,3,Uruguay,,FALSE
219,Friendly,1910-06-05,Argentina,5,1,Chile,,TRUE
220,Friendly,1910-06-12,Argentina,4,1,Uruguay,,TRUE
221,Copa Lipton,1910-08-15,Uruguay,3,1,Argentina,,TRUE
222,Friendly,1910-09-11,Chile,0,3,Argentina,,TRUE
223,Friendly,1910-10-16,Germany,1,2,Netherlands,,TRUE
224,Copa Premio Honor Argentino,1910-11-13,Argentina,1,1,Uruguay,,TRUE
225,Copa Premio Honor Argentino,1910-11-27,Argentina,2,6,Uruguay,,TRUE
226,Friendly,1911-01-01,France,0,3,Hungary,,TRUE
227,Friendly,1911-01-08,Switzerland,2,0,Hungary,,TRUE
228,British Championship,1911-01-28,Northern Ireland,1,2,Wales,,TRUE
229,British Championship,1911-02-11,England,2,1,Northern Ireland,,TRUE
230,British Championship,1911-03-06,Wales,2,2,Scotland,,TRUE
231,British Championship,1911-03-13,England,3,0,Wales,,TRUE
232,Friendly,1911-03-19,Belgium,1,5,Netherlands,,TRUE
233,Friendly,1911-03-26,Germany,6,2,Switzerland,,TRUE
234,British Championship,1911-04-01,England,1,1,Scotland,,TRUE
235,Friendly,1911-04-02,Netherlands,3,1,Belgium,,TRUE
236,Friendly,1911-04-09,France,2,2,Italy,,TRUE
237,Friendly,1911-04-23,Belgium,2,1,Germany,,TRUE
238,Friendly,1911-04-23,Switzerland,5,2,France,,TRUE
239,Friendly,1911-04-30,Belgium,7,1,France,,TRUE
240,Friendly,1911-05-07,Italy,2,2,Switzerland,,TRUE
241,Friendly,1911-05-21,Switzerland,3,0,Italy,,TRUE
242,Friendly,1911-06-18,Sweden,2,4,Germany,,TRUE
243,Copa Lipton,1911-08-15,Argentina,0,2,Uruguay,,TRUE
244,Copa Newton,1911-09-17,Uruguay,2,3,Argentina,,TRUE
245,Copa Premio Honor Uruguayo,1911-10-08,Uruguay,1,1,Argentina,,TRUE
246,Friendly,1911-10-09,Germany,1,2,Austria,,TRUE
247,Copa Premio Honor Argentino,1911-10-22,Argentina,2,0,Uruguay,,TRUE
248,Friendly,1911-10-29,Germany,1,3,Sweden,,TRUE
249,Friendly,1911-10-29,Hungary,9,0,Switzerland,,TRUE
250,Friendly,1911-10-29,Luxembourg,1,4,France,,TRUE
251,Copa Premio Honor Uruguayo,1911-10-29,Uruguay,3,0,Argentina,,TRUE
252,Friendly,1911-12-17,Germany,1,4,Hungary,,TRUE
253,Friendly,1912-01-28,France,1,1,Belgium,,TRUE
254,British Championship,1912-02-10,Northern Ireland,1,6,England,,TRUE
255,Friendly,1912-02-10,France,7,0,Catalonia,,TRUE
256,Friendly,1912-02-18,France,4,1,Switzerland,,TRUE
257,Friendly,1912-02-20,Belgium,9,2,Switzerland,,TRUE
258,British Championship,1912-03-02,Scotland,1,0,Wales,,TRUE
259,Friendly,1912-03-10,Belgium,1,2,Netherlands,,TRUE
260,British Championship,1912-03-11,Wales,0,2,England,,TRUE
261,Friendly,1912-03-17,Italy,3,4,France,,TRUE
262,British Championship,1912-03-23,Scotland,1,1,England,,TRUE
263,Friendly,1912-03-24,Netherlands,5,5,Germany,,TRUE
264,British Championship,1912-04-13,Wales,2,3,Northern Ireland,,TRUE
265,Friendly,1912-04-14,Hungary,4,4,Germany,,TRUE
266,Friendly,1912-04-28,Netherlands,4,3,Belgium,,TRUE
267,Friendly,1912-05-05,Switzerland,1,2,Germany,,TRUE
268,Friendly,1912-07-05,Netherlands,3,1,Austria,,FALSE
269,Copa Lipton,1912-08-15,Uruguay,2,0,Argentina,,TRUE
270,Copa Premio Honor Uruguayo,1912-08-25,Uruguay,3,0,Argentina,,TRUE
271,Copa Premio Honor Argentino,1912-09-22,Argentina,0,1,Uruguay,,TRUE
272,Copa Newton,1912-10-06,Argentina,3,3,Uruguay,,TRUE
273,Friendly,1912-10-06,Denmark,3,1,Germany,,TRUE
274,Friendly,1912-11-17,Germany,2,3,Netherlands,,TRUE
275,Friendly,1912-12-01,Uruguay,1,3,Argentina,,TRUE
276,Friendly,1912-12-01,Catalonia,1,0,France,,TRUE
277,Friendly,1913-01-12,France,1,0,Italy,,TRUE
278,British Championship,1913-01-18,Northern Ireland,0,1,Wales,,TRUE
279,British Championship,1913-02-15,Northern Ireland,2,1,England,,TRUE
280,Friendly,1913-02-16,Belgium,3,0,France,,TRUE
281,British Championship,1913-03-03,Wales,0,0,Scotland,,TRUE
282,Friendly,1913-03-09,Belgium,3,3,Netherlands,,TRUE
283,Friendly,1913-03-09,Switzerland,1,4,France,,TRUE
284,British Championship,1913-03-17,England,4,3,Wales,,TRUE
285,British Championship,1913-04-05,England,1,0,Scotland,,TRUE
286,Friendly,1913-04-20,France,8,0,Luxembourg,,TRUE
287,Friendly,1913-04-20,Netherlands,2,4,Belgium,,TRUE
288,Friendly,1913-05-01,Italy,1,0,Belgium,,TRUE
289,Friendly,1913-05-04,Switzerland,1,2,Belgium,,TRUE
290,Friendly,1913-05-18,Germany,1,2,Switzerland,,TRUE
291,Friendly,1913-05-25,Denmark,8,0,Sweden,,TRUE
292,Friendly,1913-06-15,Argentina,1,1,Uruguay,,TRUE
293,Friendly,1913-07-09,Argentina,2,1,Uruguay,,TRUE
294,Copa Lipton,1913-08-15,Argentina,4,0,Uruguay,,TRUE
295,Copa Premio Honor Argentino,1913-08-31,Argentina,2,0,Uruguay,,TRUE
296,Friendly,1913-09-21,Chile,0,2,Argentina,,TRUE
297,Friendly,1913-10-05,Sweden,0,10,Denmark,,TRUE
298,Copa Premio Honor Uruguayo,1913-10-05,Uruguay,1,0,Argentina,,TRUE
299,Friendly,1913-10-26,Germany,1,4,Denmark,,TRUE
300,Copa Newton,1913-10-26,Uruguay,1,0,Argentina,,TRUE
301,Friendly,1913-11-02,Belgium,2,0,Switzerland,,TRUE
302,Friendly,1913-11-23,Belgium,6,2,Germany,,TRUE
303,British Championship,1914-01-19,Wales,1,2,Northern Ireland,,TRUE
304,Friendly,1914-01-25,France,4,3,Belgium,,TRUE
305,Friendly,1914-02-08,Luxembourg,5,4,France,,TRUE
306,British Championship,1914-02-14,England,0,3,Northern Ireland,,TRUE
307,British Championship,1914-02-28,Scotland,0,0,Wales,,TRUE
308,Friendly,1914-03-08,France,2,2,Switzerland,,TRUE
309,Friendly,1914-03-15,Belgium,2,4,Netherlands,,TRUE
310,British Championship,1914-03-16,Wales,0,2,England,,TRUE
311,Friendly,1914-03-29,Italy,2,0,France,,TRUE
312,Friendly,1914-04-05,Italy,1,1,Switzerland,,TRUE
313,Friendly,1914-04-05,Netherlands,4,4,Germany,,TRUE
314,British Championship,1914-04-14,Scotland,3,1,England,,TRUE
315,Friendly,1914-04-26,Netherlands,4,2,Belgium,,TRUE
316,Friendly,1914-05-17,Denmark,4,3,Netherlands,,TRUE
317,Friendly,1914-05-17,Switzerland,0,1,Italy,,TRUE
318,Friendly,1914-05-31,Hungary,5,1,France,,TRUE
319,Copa Premio Honor Uruguayo,1914-08-30,Uruguay,3,2,Argentina,,TRUE
320,Copa Premio Honor Argentino,1914-09-13,Argentina,2,1,Uruguay,,TRUE
321,Friendly,1914-09-20,Argentina,3,0,Brazil,,TRUE
322,Copa Roca,1914-09-27,Argentina,0,1,Brazil,,TRUE
323,Friendly,1915-01-31,Italy,3,1,Switzerland,,TRUE
324,Friendly,1915-06-06,Denmark,2,0,Sweden,,TRUE
325,Copa Premio Honor Uruguayo,1915-07-18,Uruguay,2,3,Argentina,,TRUE
326,Copa Lipton,1915-08-15,Argentina,2,1,Uruguay,,TRUE
327,Copa Newton,1915-09-12,Uruguay,2,0,Argentina,,TRUE
328,Friendly,1915-09-19,Denmark,8,1,Norway,,TRUE
329,Friendly,1915-10-31,Sweden,0,2,Denmark,,TRUE
330,Friendly,1916-06-04,Denmark,2,0,Sweden,,TRUE
331,Friendly,1916-06-25,Norway,0,2,Denmark,,TRUE
332,Copa America,1916-07-02,Chile,0,4,Uruguay,,FALSE
333,Copa America,1916-07-06,Argentina,6,1,Chile,,TRUE
334,Copa America,1916-07-08,Brazil,1,1,Chile,,FALSE
335,Copa America,1916-07-10,Argentina,1,1,Brazil,,TRUE
336,Friendly,1916-07-12,Argentina,1,0,Chile,,TRUE
337,Copa America,1916-07-12,Brazil,1,2,Uruguay,,FALSE
338,Friendly,1916-07-14,Uruguay,4,1,Chile,,TRUE
339,Copa America,1916-07-17,Argentina,0,0,Uruguay,,TRUE
340,Friendly,1916-07-18,Uruguay,0,1,Brazil,,TRUE
341,Copa Newton,1916-08-15,Argentina,3,1,Uruguay,,TRUE
342,Copa Lipton,1916-08-15,Uruguay,1,2,Argentina,,TRUE
343,Friendly,1916-08-20,Sweden,2,3,United States,,TRUE
344,Friendly,1916-09-03,Norway,1,1,United States,,TRUE
345,Friendly,1916-10-01,Argentina,7,2,Uruguay,,TRUE
346,Copa Premio Honor Uruguayo,1916-10-01,Uruguay,0,1,Argentina,,TRUE
347,Friendly,1916-10-08,Sweden,4,0,Denmark,,TRUE
348,Friendly,1916-10-15,Denmark,8,0,Norway,,TRUE
349,Friendly,1916-10-29,Uruguay,3,1,Argentina,,TRUE
350,Friendly,1917-05-07,Japan,2,15,Philippines,,TRUE
351,Friendly,1917-06-03,Denmark,1,1,Sweden,,TRUE
352,Friendly,1917-06-17,Norway,1,2,Denmark,,TRUE
353,Copa Premio Honor Uruguayo,1917-07-18,Uruguay,0,2,Argentina,,TRUE
354,Copa Lipton,1917-08-15,Argentina,1,0,Uruguay,,TRUE
355,Copa Newton,1917-09-02,Uruguay,1,0,Argentina,,TRUE
356,Copa America,1917-09-30,Uruguay,4,0,Chile,,TRUE
357,Copa America,1917-10-03,Argentina,4,2,Brazil,,FALSE
358,Copa America,1917-10-06,Argentina,1,0,Chile,,FALSE
359,Friendly,1917-10-07,Denmark,12,0,Norway,,TRUE
360,Copa America,1917-10-07,Uruguay,4,0,Brazil,,TRUE
361,Copa America,1917-10-12,Brazil,5,0,Chile,,FALSE
362,Friendly,1917-10-14,Sweden,1,2,Denmark,,TRUE
363,Copa America,1917-10-14,Uruguay,1,0,Argentina,,TRUE
364,Friendly,1917-10-16,Uruguay,3,1,Brazil,,TRUE
365,Friendly,1917-12-23,Switzerland,0,1,Austria,,TRUE
366,Friendly,1917-12-26,Switzerland,3,2,Austria,,TRUE
367,Friendly,1918-05-09,Austria,5,1,Switzerland,,TRUE
368,Friendly,1918-05-12,Hungary,2,1,Switzerland,,TRUE
369,Friendly,1918-06-02,Denmark,3,0,Sweden,,TRUE
370,Friendly,1918-06-16,Norway,3,1,Denmark,,TRUE
371,Copa Premio Honor Uruguayo,1918-07-18,Uruguay,1,1,Argentina,,TRUE
372,Copa Premio Honor Uruguayo,1918-07-28,Uruguay,3,1,Argentina,,TRUE
373,Copa Premio Honor Argentino,1918-08-15,Argentina,0,0,Uruguay,,TRUE
374,Copa Premio Honor Argentino,1918-08-25,Argentina,2,1,Uruguay,,TRUE
375,Copa Lipton,1918-09-20,Uruguay,1,1,Argentina,,TRUE
376,Copa Newton,1918-09-29,Argentina,2,0,Uruguay,,TRUE
377,Friendly,1918-10-06,Denmark,4,0,Norway,,TRUE
378,Friendly,1918-10-20,Sweden,1,2,Denmark,,TRUE
379,Friendly,1919-03-09,Belgium,2,2,France,,TRUE
380,Copa America,1919-05-11,Brazil,6,0,Chile,,TRUE
381,Friendly,1919-05-11,Paraguay,1,5,Argentina,,TRUE
382,Copa America,1919-05-13,Argentina,2,3,Uruguay,,FALSE
383,Friendly,1919-05-15,Paraguay,0,3,Argentina,,TRUE
384,Copa America,1919-05-17,Chile,0,2,Uruguay,,FALSE
385,Copa America,1919-05-18,Brazil,3,1,Argentina,,TRUE
386,Friendly,1919-05-21,Paraguay,1,2,Argentina,,TRUE
387,Copa America,1919-05-22,Argentina,4,1,Chile,,FALSE
388,Friendly,1919-05-24,Paraguay,1,2,Argentina,,TRUE
389,Copa America,1919-05-26,Brazil,2,2,Uruguay,,TRUE
390,Copa America,1919-05-29,Brazil,1,0,Uruguay,,TRUE
391,Friendly,1919-06-01,Brazil,3,3,Argentina,,TRUE
392,Friendly,1919-06-05,Denmark,3,0,Sweden,,TRUE
393,Friendly,1919-06-09,Netherlands,3,1,Sweden,,TRUE
394,Friendly,1919-06-12,Denmark,5,1,Norway,,TRUE
395,Copa Premio Honor Uruguayo,1919-07-18,Uruguay,4,1,Argentina,,TRUE
396,Friendly,1919-08-24,Sweden,4,1,Netherlands,,TRUE
397,Copa Newton,1919-08-24,Uruguay,2,1,Argentina,,TRUE
398,Friendly,1919-08-31,Norway,1,1,Netherlands,,TRUE
399,Copa Lipton,1919-09-07,Argentina,1,2,Uruguay,,TRUE
400,Friendly,1919-09-21,Norway,3,2,Denmark,,TRUE
401,Friendly,1919-10-12,Sweden,3,0,Denmark,,TRUE
402,Copa Premio Honor Argentino,1919-10-19,Argentina,6,1,Uruguay,,TRUE
403,British Championship,1919-10-25,Northern Ireland,1,1,England,,TRUE
404,Friendly,1919-12-07,Uruguay,4,2,Argentina,,TRUE
405,Friendly,1920-01-18,Italy,9,4,France,,TRUE
406,British Championship,1920-02-14,Northern Ireland,2,2,Wales,,TRUE
407,British Championship,1920-02-26,Wales,1,1,Scotland,,TRUE
408,Friendly,1920-02-29,Switzerland,0,2,France,,TRUE
409,British Championship,1920-03-15,England,1,2,Wales,,TRUE
